;Current Official Name of Satellite;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Launch Mass (kg.);Dry Mass (kg.);Date of Launch;Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Vehicle;Comments;Country of Operator/Owner_agg;Country of Contractor_agg;Launcher_country;Purpose_agg
803;GOES-15;USA;NOAA (National Oceanographic and Atmospheric Administration);Government;Earth Observation;Earth Science/Meterology;GEO;3175.0;2180;2010;10.0;Boeing Satellite Systems;USA;Delta 4;;USA;USA;USA;earth_observation_and_surveillance
804;GOES-R;USA;NOAA (National Oceanographic and Atmospheric Administration);Government;Earth Observation;Earth Science/Meterology;GEO;5192.0;2857;2016;20.0;Lockheed Martin Missiles & Space;USA;Atlas 5;Carries the Advanced Baseline Imager, the sophisticated digital camera that offers more embedded data at higher resolution taken in quicker intervals than ever before.;USA;USA;USA;earth_observation_and_surveillance
805;GOES-S;USA;NOAA (National Oceanographic and Atmospheric Administration);Government;Earth Observation;Earth Science/Meterology;GEO;5211.0;3000;2018;15.0;Lockheed Martin Missiles & Space;USA;Atlas 5;;USA;USA;USA;earth_observation_and_surveillance
806;Göktürk 1;Turkey;Turkish Ministry of National Defense;Military;Earth Observation;Optical Imaging;LEO;1060.0;;2016;7.0;Thales Alenia Space;France/Italy;Vega;Along with satellite construction, Thales Alenia Space developed a spacecraft integration and test center in Ankara as part of a technology transfer program.;ROW;EU;EU;earth_observation_and_surveillance
807;Göktürk 2;Turkey;Turkish Ministry of National Defense;Military;Earth Observation;Optical Imaging;LEO;409.0;;2012;5.0;TÜBİTAK Space Technologies Research Institute/Turkish Aerospace Industries;Turkey;Long March 2D;High resolution earth observation. Second and third in production.;ROW;ROW;China;earth_observation_and_surveillance
808;GomX-4A;Denmark;GomSpace ApS;Military;Earth Observation;;LEO;8.0;;2018;;GomSpace;Denmark;Long March 2D;Collect data for the Danish Ministry of Defense on airplane and ship movements over the Arctic region;EU;EU;China;earth_observation_and_surveillance
809;GomX-4B;Denmark;GomSpace ApS;Government;Technology Development;;LEO;8.0;;2018;;GomSpace;Denmark;Long March 2D;Technology development.;EU;EU;China;increase_mission_performance_and_technology
810;Gonets M-03;Russia;Gonets Satcom;Government/Commercial;Communications;;LEO;270.0;;2012;7.0;ISS Reshetnev;Russia;Rokot;;Russia;Russia;Russia;communication_and_positionning
811;Gonets M-04;Russia;Gonets Satcom;Government/Commercial;Communications;;LEO;270.0;;2012;7.0;ISS Reshetnev;Russia;Rokot;;Russia;Russia;Russia;communication_and_positionning
812;Gonets M-05;Russia;Gonets Satcom;Government/Commercial;Communications;;LEO;270.0;;2010;7.0;ISS Reshetnev;Russia;Rokot;Constellation of 12 satellites for civil/commercial use.;Russia;Russia;Russia;communication_and_positionning
813;Gonets M-11;Russia;Gonets Satcom;Government/Commercial;Communications;;LEO;280.0;;2015;7.0;ISS Reshetnev;Russia;Rokot;;Russia;Russia;Russia;communication_and_positionning
814;Gonets M-12;Russia;Gonets Satcom;Government/Commercial;Communications;;LEO;280.0;;2015;7.0;ISS Reshetnev;Russia;Rokot;;Russia;Russia;Russia;communication_and_positionning
815;Gonets M-13;Russia;Gonets Satcom;Government/Commercial;Communications;;LEO;280.0;;2015;7.0;ISS Reshetnev;Russia;Rokot;;Russia;Russia;Russia;communication_and_positionning
816;Gonets M-14;Russia;Gonets Satcom;Government/Commercial;Communications;;LEO;270.0;;2013;7.0;ISS Reshetnev;Russia;Rokot;;Russia;Russia;Russia;communication_and_positionning
817;Gonets M-16;Russia;Gonets Satcom;Government/Commercial;Communications;;LEO;270.0;;2013;7.0;ISS Reshetnev;Russia;Rokot;;Russia;Russia;Russia;communication_and_positionning
818;Gonets M-17;Russia;Gonets Satcom;Government/Commercial;Communications;;LEO;270.0;;2013;7.0;ISS Reshetnev;Russia;Rokot;;Russia;Russia;Russia;communication_and_positionning
819;Gonets M-18;Russia;Gonets Satcom;Government/Commercial;Communications;;LEO;280.0;;2014;7.0;ISS Reshetnev;Russia;Rokot;;Russia;Russia;Russia;communication_and_positionning
820;Gonets M-19;Russia;Gonets Satcom;Government/Commercial;Communications;;LEO;280.0;;2014;7.0;ISS Reshetnev;Russia;Rokot;;Russia;Russia;Russia;communication_and_positionning
821;Gonets M-20;Russia;Gonets Satcom;Government/Commercial;Communications;;LEO;280.0;;2014;7.0;ISS Reshetnev;Russia;Rokot;;Russia;Russia;Russia;communication_and_positionning
822;Gonets-M-24;Russia;Gonets Satcom;Government/Commercial;Communications;;LEO;280.0;;2019;7.0;ISS Reshetnev;Russia;Rokot;;Russia;Russia;Russia;communication_and_positionning
823;Gonets M-25;Russia;Gonets Satcom;Government/Commercial;Communications;;LEO;280.0;;2019;7.0;ISS Reshetnev;Russia;Rokot;;Russia;Russia;Russia;communication_and_positionning
824;Gonets-M-26;Russia;Gonets Satcom;Government/Commercial;Communications;;LEO;280.0;;2019;7.0;ISS Reshetnev;Russia;Rokot;;Russia;Russia;Russia;communication_and_positionning
825;GOSAT-2;Japan;JAXA, Ministry of Environment, National Institute of Environmental Studies;Government;Earth Observation;Earth Science;LEO;1800.0;;2018;5.0;Mitsubishi Electric;Japan;H2A;Measure greenhouse gases in Earth’s atmosphere and help scientists better quantify the role of human activity in climate change.;Japan;Japan;Japan;earth_observation_and_surveillance
826;GovSat-1;Luxembourg;LuxGovSat;Government/Military;Communications;;GEO;4230.0;;2018;15.0;Orbital ATK;USA;Falcon 9;"""GovSat-1 was designed to meet the specific needs of government customers, and will enable a wide array of defense and civilian security applications, even in the most remote locations.” Carries Ka-band and X-band telecom equipment to relay data, radio signals and other communications across a zone stretching from the Atlantic Ocean to the Indian Ocean.";EU;USA;USA;communication_and_positionning
827;GPIM;USA;National Aeronautics and Space Administration (NASA);Government;Technology Development;;LEO;180.0;;2019;1.0;Ball Aerospace;USA;Falcon Heavy;NASA is developing a green alternative to conventional chemical propulsion systems for next-generation launch vehicles and spacecraft.;USA;USA;USA;increase_mission_performance_and_technology
828;GPM Core Observatory;USA/Japan;National Aeronautics and Space Administration (NASA)/JAXA;Government;Earth Observation;Earth Science;LEO;3850.0;;2014;;NASA/Goddard Space Flight Center;USA;H2A;The GPM Core observatory is equipped with radar and microwave imagers to collect data to measure precipitation in the Earth's atmosphere.;Int_coop;USA;Japan;earth_observation_and_surveillance
829;Grace Follow-on-1;USA/Germany;NASA/German Research Centre for Geosciences (GFZ);Government;Earth Observation;Earth Science;LEO;600.0;;2018;5.0;NASA Jet Propulsion Laboratory/Airbus;USA/Germany;Falcon 9;Continues the work of tracking Earth's water movement to monitor changes in underground water storage, amount of water in large lakes and rivers, soil moisture, ice sheets and glaciers, sea level caused by the addition of water to the ocean.;Int_coop;Int_coop;USA;earth_observation_and_surveillance
830;Grace Follow-on-2;USA/Germany;NASA/German Research Centre for Geosciences (GFZ);Government;Earth Observation;Earth Science;LEO;600.0;;2018;5.0;NASA Jet Propulsion Laboratory/Airbus;USA/Germany;Falcon 9;Continues the work of tracking Earth's water movement to monitor changes in underground water storage, amount of water in large lakes and rivers, soil moisture, ice sheets and glaciers, sea level caused by the addition of water to the ocean.;Int_coop;Int_coop;USA;earth_observation_and_surveillance
831;Ibuki;Japan;Japan Aerospace Exploration Agency (JAXA);Government;Earth Observation;Earth Science;LEO;1750.0;;2009;5.0;Mitsubishi Electric;Japan;H2A;Observe the concentration and distribution of greenhouse gases across most of the Earth's surface.;Japan;Japan;Japan;earth_observation_and_surveillance
832;GRIFEX;USA;University of Michigan/NASA Earth Science Technology Office;Government/Civil;Technology Development;;LEO;4.0;;2015;;Michigan Exploration Laboratory, University of Michigan;USA;Delta 2;A spaceborne engineering assessment of a JPL-developed all digital in-pixel high frame rate ROIC (Read-Out Integrated Circuit).;USA;USA;USA;increase_mission_performance_and_technology
833;GRUS-1;Japan;Axelspace;Commercial;Earth Observation;Multispectral Imaging;LEO;100.0;;2018;5.0;Axelspace;Japan;Soyuz 2.1a;First satellite in Axelspace's earth observation constellation, AxelGlobe.;Japan;Japan;Russia;earth_observation_and_surveillance
834;GSAT-10;India;Indian Space Research Organization (ISRO);Government;Communications;;GEO;3400.0;1493;2012;15.0;Indian Space Research Organization (ISRO);India;Ariane 5;Also equipped with GAGAN (GPS Aided GEO Augmented Naviation).;India;India;EU;communication_and_positionning
835;GSAT-11;India;Indian Space Research Organization (ISRO);Government;Communications;;GEO;5854.0;;2018;15.0;Indian Space Research Organization (ISRO);India;Ariane 5;Heaviest comms satellite ever built by IRSO. Ku- and Ka-band transponders.;India;India;EU;communication_and_positionning
836;GSAT-12;India;Indian Space Research Organization (ISRO);Government;Communications;;GEO;1410.0;559;2011;8.0;Indian Space Research Organization (ISRO);India;PSLV C17;C-band expansion at this location. Designed for quick turn-around deployment.;India;India;USA;communication_and_positionning
837;GSAT-14;India;Indian Space Research Organization (ISRO);Government;Communications;;GEO;1982.0;;2014;12.0;Indian Space Research Organization (ISRO);India;GSLV;Replacement for GSAT-3.;India;India;India;communication_and_positionning
838;GSAT-15;India;Indian Space Research Organization (ISRO);Government;Communications;;GEO;3164.0;;2015;12.0;Indian Space Research Organization (ISRO);India;Ariane 5;;India;India;EU;communication_and_positionning
839;GSAT-16;India;Indian Space Research Organization (ISRO);Government;Communications;;GEO;3181.0;;2014;15.0;Indian Space Research Organization (ISRO);India;Ariane 5 ECA;Replacement for GSAT-3E. 48 transponders - 12 in the C band, 12 in the extended C and 24 in the Ku band.;India;India;EU;communication_and_positionning
840;GSAT-17;India;Indian Space Research Organization (ISRO);Government;Communications;;GEO;3477.0;;2017;15.0;Indian Space Research Organization (ISRO);India;Ariane 5;Also hosts a payload to relay meteorological data and has a search and rescue support mission;India;India;EU;communication_and_positionning
841;GSAT-18;India;Indian Space Research Organization (ISRO);Government;Communications;;GEO;3404.0;;2016;15.0;Indian Space Research Organization (ISRO);India;Ariane 5;;India;India;EU;communication_and_positionning
842;GSAT-19E;India;Indian Space Research Organization (ISRO);Government;Communications;;GEO;3136.0;;2017;10.0;Indian Space Research Organization (ISRO);India;GSLV MK.3;;India;India;India;communication_and_positionning
843;GSAT-29;India;Indian Space Research Organization (ISRO);Government;Communications;;GEO;3400.0;;2018;10.0;Indian Space Research Organization (ISRO);India;GSLV MK.3;High-throughput.;India;India;India;communication_and_positionning
844;GSAT-30;India;Indian Space Research Organization (ISRO);Government;Communications;;GEO;3357.0;;2020;15.0;Indian Space Research Organization (ISRO);India;Ariane 5;12 C-band transponders and 12 Ku-band transponders.;India;India;EU;communication_and_positionning
845;GSAT-31;India;Indian Space Research Organization (ISRO);Government;Communications;;GEO;2536.0;;2019;15.0;Indian Space Research Organization (ISRO);India;Ariane 5;Ku-band services to India and neighboring islands and oceans.;India;India;EU;communication_and_positionning
846;GSAT-6;India;Indian Space Research Organization (ISRO);Government/Commercial;Communications;;GEO;2110.0;980;2015;12.0;Indian Space Research Organization (ISRO);India;GSLV;;India;India;India;communication_and_positionning
847;GSAT-7;India;Indian Navy;Military;Communications;;GEO;2650.0;;2013;7.0;Indian Space Research Organization (ISRO);India;Ariane 5 ECA;India's first dedicated military satellite.;India;India;EU;communication_and_positionning
848;GSAT-7A;India;Indian Air Force;Military;Communications;;GEO;2250.0;;2018;8.0;Indian Space Research Organization (ISRO);India;GSLV Mk.2;Built to serve the Indian Air Force.;India;India;India;communication_and_positionning
849;GSAT-8;India;Indian Space Research Organization (ISRO);Government;Communications/Navigation;;GEO;3093.0;1426;2011;12.0;Indian Space Research Organization (ISRO);India;Ariane 5;Direct-to-home broadcast  and other domestic needs. Equipped with GAGAN (GPS Aided GEO Augmented Navigation).;India;India;EU;communication_and_positionning
850;G-Satellite;Japan;Tokyo 2020 One Team Project;Civil;Communications;;LEO;3.0;;2020;;University of Tokyo/JAXA/and three toymakers;Japan;J-SSOD Deployer;First satellite ever orbited to celebrate the Olympic Games - scheduled for 2020 in Japan but delayed;Japan;Japan;Japan;communication_and_positionning
851;USA 253;USA;Air Force Satellite Control Network;Military;Space Observation;Imaging;GEO;;600;2014;;Orbital Sciences Corp.;USA;Delta 4M;Space surveillance of satellites in GEO.;USA;USA;USA;space_science
852;USA 254;USA;Air Force Satellite Control Network;Military;Space Observation;Imaging;GEO;;600;2014;;Orbital Sciences Corp.;USA;Delta 4M;Space surveillance of satellites in GEO.;USA;USA;USA;space_science
853;USA 270;USA;Air Force Satellite Control Network;Military;Space Observation;Imaging;GEO;;600;2016;;Orbital ATK;USA;Delta 4M+;Space surveillance of satellites in GEO.;USA;USA;USA;space_science
854;USA 271;USA;Air Force Satellite Control Network;Military;Space Observation;Imaging;GEO;;600;2016;;Orbital ATK;USA;Delta 4M+;Space surveillance of satellites in GEO.;USA;USA;USA;space_science
855;Haiyang 1C;China;State Oceanic Administration (SOA);Government;Earth Observation;Meteorology;LEO;442.0;;2018;;China Academy of Space Technology (CAST);China;Long March 2C;Ocean-imaging surveillance satellite.;China;China;China;earth_observation_and_surveillance
856;Haiyang 1D;China;State Oceanic Administration (SOA);Government;Earth Observation;Meteorology;LEO;442.0;;2020;;DFH Satellite Co. Ltd.;China;Long March 2C;Ocean-imaging surveillance satellite.;China;China;China;earth_observation_and_surveillance
857;Haiyang 2A;China;State Oceanic Administration (SOA);Government;Earth Observation;Meteorology;LEO;1500.0;;2011;3.0;China Academy of Space Technology (CAST);China;Long March 4B;Ocean-imaging surveillance satellite.;China;China;China;earth_observation_and_surveillance
858;Haiyang 2B;China;State Oceanic Administration (SOA);Government;Earth Observation;Earth Science;LEO;1500.0;;2018;3.0;China Academy of Space Technology (CAST);China;Long March 4B;;China;China;China;earth_observation_and_surveillance
859;HaloSat;USA;University of Iowa;Government;Space Science;;LEO;10.0;;2018;;Blue Canyon Technologies;USA;Nanorack Deployer;Measure soft X-ray emissions from the halo of the Milky Way galaxy.;USA;USA;USA;space_science
860;Hawk-A;USA;HawkEye 360;Commercial;Surveillance;Electronic Intelligence;LEO;15.0;;2018;;GomSpace/Unitas SFL;Denmark/Canada;Falcon 9;Uses rf-geolocation to detect radio frequences operating on Earth from space. More reliable than AIS.;USA;ROW;USA;earth_observation_and_surveillance
861;Hawk-B;USA;HawkEye 360;Commercial;Surveillance;Electronic Intelligence;LEO;15.0;;2018;;GomSpace/Unitas SFL;Denmark/Canada;Falcon 9;Uses rf-geolocation to detect radio frequences operating on Earth from space. More reliable than AIS.;USA;ROW;USA;earth_observation_and_surveillance
862;Hawk-C;USA;HawkEye 360;Commercial;Surveillance;Electronic Intelligence;LEO;15.0;;2018;;GomSpace/Unitas SFL;Denmark/Canada;Falcon 9;Uses rf-geolocation to detect radio frequences operating on Earth from space. More reliable than AIS.;USA;ROW;USA;earth_observation_and_surveillance
863;HEAD-1;China;HEAD Aerospace;Commercial;Earth Observation;Automatic Identification System (AIS);LEO;45.0;;2017;3.0;Shanghai Academy of Space Flight Technology;China;Long March 4C;Pathfinder for 30-satellite Skywalker constellation - AIS equipped.;China;China;China;earth_observation_and_surveillance
864;HEAD-2A;China;HEAD Aerospace;Commercial;Earth Observation;Automatic Identification System (AIS);LEO;45.0;;2019;;HEAD Aerospace;China;Kuaizhou 1A;First two spacecraft in HEAD Aerospace Skywalker constellation.;China;China;China;earth_observation_and_surveillance
865;HEAD-2B;China;HEAD Aerospace;Commercial;Earth Observation;Automatic Identification System (AIS);LEO;45.0;;2019;;HEAD Aerospace;China;Kuaizhou 1A;;China;China;China;earth_observation_and_surveillance
866;HEAD-4;China;HEAD Aerospace;Commercial;Earth Observation;Automatic Identification System (AIS);LEO;45.0;;2020;;HEAD Aerospace;China;Long March 2D;;China;China;China;earth_observation_and_surveillance
867;HEAD-5;China;HEAD Aerospace;Commercial;Earth Observation;Automatic Identification System (AIS);LEO;45.0;;2020;;HEAD Aerospace;China;Long March 2D;;China;China;China;earth_observation_and_surveillance
868;Helios 2A;France/Italy/Belgium/Spain/Greece;Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA);Military;Earth Observation;Optical Imaging;LEO;4200.0;1,500-1,900;2004;5.0;EADS Astrium;France/UK/Germany/Spain;Ariane 5G;"Optical reconnaissance; independent military intelligence capability for the EU (France has financed 90% of the B series).";EU;ROW;EU;earth_observation_and_surveillance
869;Helios 2B;France/Italy/Belgium/Spain/Greece;Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA);Military;Earth Observation;Optical Imaging;LEO;4200.0;1,500-1,900;2009;5.0;EADS Astrium;France/UK/Germany/Spain;Ariane 5;Optical reconnaissance, independent military intelligence capability for the EU (France has financed 90% of the B series).;EU;ROW;EU;earth_observation_and_surveillance
870;HellasSat 2;Greece;Hellas-Sat Consortium Ltd.;Commercial;Communications;;GEO;3300.0;;2003;15.0;Astrium;France, UK, Germany;Atlas 5;"30 Ku-band; television broadcasting services for the 2004 Summer Olympic Games in Athens.";EU;ROW;USA;communication_and_positionning
871;HellasSat 3;Greece/United Kingdom;Hellas-Sat Consortium Ltd./INMARSAT;Commercial;Communications;;GEO;5780.0;;2017;15.0;Thales Alenia Space;France/Italy;Ariane 5;"Direct-to-home television programming over Europe, Africa and the Middle East with 44 Ku-band transponders and a Ka-band payload owned by Hellas-Sat; S-band payload will connect airline passengers traveling across Europe with Wi-Fi as part of Inmarsat’s European Aviation Network.";EU;EU;EU;communication_and_positionning
872;Hellas-Sat 4;Greece;Hellas-Sat Consortium Ltd.;Commercial/Government;Communications;;GEO;6495.0;;2019;15.0;Lockheed Martin Missiles & Space;USA;Ariane 5;Will provide Ka-band broadband Internet connectivity and other telecom services across Saudi Arabia and neighboring countries, including secure military communications for nations in the Gulf Cooperative Council. Ku-band for Europe and Middle East.;EU;USA;EU;communication_and_positionning
873;RHESSI (Reuven Ramaty High Energy Solar Spectroscopic Imager);USA;Space Sciences Laboratory, UC Berkeley/NASA;Government/Civil;Space Science;;LEO;293.0;;2002;3.0;Spectrum Astro, Inc.;USA;Pegasus;Explore basic physics of particle acceleration and explosive energy release in solar flares.;USA;USA;USA;space_science
874;Hiber-1;Netherlands;Hiber Global;Commercial;Technology Development;;LEO;4.0;;2018;;Hiber Global;Netherlands;PSLV;;EU;EU;India;increase_mission_performance_and_technology
875;Hiber-2;Netherlands;Hiber Global;Commercial;Technology Development;;LEO;7.0;;2018;;Hiber Global;Netherlands;Falcon 9;Test the IoT/M2M service. Part of 12/3/2019 SSO-A flight.;EU;EU;USA;increase_mission_performance_and_technology
876;Himawari 8;Japan;Japan Meteorological Agency/Meteorological Satellite Center (MSC);Government;Earth Observation;Meteorology;GEO;3500.0;1300;2014;8.0;Mitsubishi Electric;Japan;H2A;Equipped with highly improved Advanced Himawari Imagers (AHIs).;Japan;Japan;Japan;earth_observation_and_surveillance
877;Himawari 9;Japan;Japan Meteorological Agency/Meteorological Satellite Center (MSC);Government;Earth Observation;Meteorology;GEO;3500.0;1300;2016;8.0;Mitsubishi Electric;Japan;H2A;Equipped with highly improved Advanced Himawari Imagers (AHIs).;Japan;Japan;Japan;earth_observation_and_surveillance
878;Hinode;Multinational;Institute of Space and Aeronautical Science/NASA;Government;Space Science;;LEO;700.0;530;2006;3.0;Institute of Space and Aeronautical Science, University of Tokyo/NASA;Japan/USA/UK/Germany;JAXA M-V;;Int_coop;ROW;Japan;space_science
879;Hisaki;Japan;Japan Aerospace Exploration Agency (JAXA);Government;Space Science;;Elliptical;348.0;;2013;1.0;NEC Corporation;Japan;Epsilon;Carries extreme ultraviolet telescope to observe the planets and measure their interaction with plasma generated by Jupiters moon Io and investigate the mechanism of how the atmosphere of the terrestrial planets escapes into space.;Japan;Japan;Japan;space_science
880;Hispasat 1D;Spain;Hispasat;Government/Commercial/Military;Communications;;GEO;3288.0;1382;2002;15.0;Alcatel Space Industries;France;Atlas 2AS;"Fourth of Spain's communications satellites with government, commercial and military application; X-band heavily used; 28 Ku-band transponders.";EU;EU;USA;communication_and_positionning
881;Hispasat 1E;Spain;Hispasat;Commercial;Communications;;GEO;5320.0;2175;2010;15.0;Space Systems/Loral;USA;Ariane 5;63 Ku-band transponders and a Ka-band capability.;EU;USA;EU;communication_and_positionning
882;Hispasat 30W-6;Spain;Hispasat;Commercial;Communications;;GEO;6100.0;;2018;15.0;Space Systems/Loral;USA;Falcon 9;Forty Ku-band, 10 C-band, 7 Ka-band transponders. ;EU;USA;USA;communication_and_positionning
883;Hispasat 36W-1;Spain;Hispasat;Commercial;Communications;;GEO;3220.0;1700;2017;15.0;OHB System-AG;Germany;Soyuz;First GEO satellite built in Germany in 20 years.;EU;EU;Russia;communication_and_positionning
884;HJ-1A;China;National Remote Sensing Center (NRSCC);Government;Earth Observation;Optical Imaging;LEO;470.0;;2008;3.0;China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.;China;Long March 2C;Monitors environment and natural disasters.;China;China;China;earth_observation_and_surveillance
885;HJ-1B;China;National Remote Sensing Center (NRSCC);Government;Earth Observation;Optical Imaging;LEO;470.0;;2008;3.0;China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.;China;Long March 2C;Monitors environment and natural disasters.;China;China;China;earth_observation_and_surveillance
886;HJ-1C;China;National Committee for Disaster Reduction and State Environmental Protection;Government;Earth Observation;Radar Imaging;LEO;890.0;;2012;3.0;China Academy of Space Technology (CAST)/DFH Satellite Co. Ltd.;China;Long March 2C;Monitors environment and natural disasters.;China;China;China;earth_observation_and_surveillance
887;Hodoyoshi-1;Japan;University of Tokyo and NESTRA;Government;Earth Observation;Optical Imaging;LEO;65.0;;2014;;University of Tokyo;Japan;Dnepr;Produce medium-high resolution Earth images.;Japan;Japan;ROW;earth_observation_and_surveillance
888;Hodoyoshi-3;Japan;University of Tokyo and NESTRA;Government;Technology Development;;LEO;60.0;;2014;;University of Tokyo;Japan;Dnepr;Accelerate the technology development and practical utilization of micro/nano-satellites.;Japan;Japan;ROW;increase_mission_performance_and_technology
889;Hodoyoshi-4;Japan;University of Tokyo and NESTRA;Government;Technology Development;;LEO;60.0;;2014;;University of Tokyo;Japan;Dnepr;;Japan;Japan;ROW;increase_mission_performance_and_technology
890;Hongyan-1;China;China Aerospace Science and Technology Corporation (CASC);Government;Communications;;LEO;;;2018;;China Aerospace Science and Technology Corp. (CASC);China;Long March 2D;Planned LEO communications constellation. Will test L-band and Ka-band communications technologies in orbit.;China;China;China;communication_and_positionning
891;Hongyun-1;China;China Aerospace Science and Industry Corporation (CASIC);Commercial;Technology Development;;LEO;;;2018;;China Aerospace Science and Industry Corporation (CASIC);China;Long March 11;First of a planned broadband constellation of 156 satellites. This satellite will verify technologies.;China;China;China;increase_mission_performance_and_technology
892;Horizons 2;USA/Japan;Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation);Commercial;Communications;;GEO;2300.0;;2007;15.0;Orbital Sciences Corp.;USA;Ariane 5;"Joint venture between Intelsat and JSAT; 20 Ku-band transponders, services to the US, Canada and Japan.";Int_coop;USA;EU;communication_and_positionning
893;Horizons 3e;USA/Japan;Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation);Commercial;Communications;;GEO;6500.0;;2018;15.0;Boeing;USA;Ariane 5 ECA;Aeronautical and maritime mobility services in Pacific Northwest and North America.;Int_coop;USA;EU;communication_and_positionning
894;Horyu-2;Japan;Kyushu Institute of Technology (KIT);Civil;Technology Development;;LEO;7.1;;2012;1.0;Kyushu Institute of Technology (KIT);Japan;H2A;"To test an experimental high-voltage solar array system and observe spacecraft charging effects caused by it; also provide ground communication for junior/senor high school students as amateur radio.";Japan;Japan;Japan;increase_mission_performance_and_technology
895;HSAT-1;USA;Harris Corporation;Commercial;Communications;;LEO;4.0;;2018;;Harris Corporation;USA;PSLV;Test deployable antenna design for potential use on future smallsats.;USA;USA;India;communication_and_positionning
896;Huangpu-1;China;Shanghai Lizheng Satellite Application Technology;Commercial;Communications;;LEO;50.0;;2019;;Shanghai Lizheng Satellite Application Technology;China;Long March 4B;First of a planned 90-satellite communications constellation;China;China;China;communication_and_positionning
898;Huia'an;China;Huaian Youth Comprehensive Development Base;Civil;Technology Development;;LEO;2.5;;2018;;Huaian Youth Comprehensive Development Base;China;Long March 11;Student education.;China;China;China;increase_mission_performance_and_technology
899;Huskysat-1;USA;University of Washington;Civil;Technology Development;;LEO;5.0;;2020;;University of Washington;USA;Nanoracks Deployer;Demonstrate on-board plasma propulsion and high-gain telemetry for LEO that would be a precursor for an attempt at a larger cubesat designed for orbital insertion at the moon.;USA;USA;USA;increase_mission_performance_and_technology
900;HXMT;China;National Space Science Center (NSSC);Government;Space Science;;LEO;2500.0;;2017;4.0;National Space Science Center (NSSC);China;Long March 4B;Carries three x-ray telescopes observing at energies ranging from 20 to 200 kilo-electron volts as well as an instrument to monitor the space environment.;China;China;China;space_science
901;HYLAS 4;United Kingdom;Avanti Communications, PLC;Commercial;Communications;;GEO;4050.0;;2018;15.0;Orbital Sciences Corp.;USA;Ariane 5;High speed broadcast service.;EU;USA;EU;communication_and_positionning
902;HYLAS 1;United Kingdom;Avanti Communications, PLC;Commercial;Communications;;GEO;2242.0;;2010;15.0;EADS Astrium;France;Ariane 5;Stated goal of providing broadband internet access to people in the areas hardest to reach by terrestrial connectivity means;EU;EU;EU;communication_and_positionning
903;HYLAS 2;United Kingdom;Avanti Communications, PLC;Commercial;Communications;;GEO;3311.0;1532;2012;15.0;Orbital Sciences Corp.;USA;Ariane 5 ECA;24 fixed beams and one steerable beam, pioneering Ka-band technology. High speed data capacity across southern and Eastern Africa, the Middle East and the Caucasus.;EU;USA;EU;communication_and_positionning
904;HySIS;India;Indian Space Research Organization (ISRO);Government;Earth Observation;Hyperspectral Imaging;LEO;380.0;;2018;5.0;Indian Space Research Organization (ISRO);India;PSLV;Earth-facing imager capable of collecting data at 316 bands across the visible, near-infrared and shortwave infrared spectra.;India;India;India;earth_observation_and_surveillance
905;Icesat-2;USA;National Aeronautics and Space Administration (NASA);Government;Earth Science;Laser Imaging;LEO;1515.0;;2018;3.0;Northrup Grumman Information Systems;USA;Delta 2;Will measure depth of ice with lasers from space.;USA;USA;USA;earth_observation_and_surveillance
906;ICEYE-X2;Finland;ICEYE Ltd.;Commercial;Earth Observation;Radar Imaging;LEO;80.0;;2018;;ICEYE Ltd.;Finland;Falcon 9;X-band synthetic radar aperture microsatellite.;EU;EU;USA;earth_observation_and_surveillance
907;ICEYE-X3;USA;US Army Space and Missile Defense Command;Military;Technology Development;Radar Imaging;LEO;150.0;;2019;;York Space Systems;USA;Electron;Synthetic aperture radar for all-weather Earth observation and a high-data-rate communications link to transmit the radar imagery to users on the ground.;USA;USA;USA;increase_mission_performance_and_technology
908;ICEYE-X4;Finland;ICEYE Ltd.;Commercial;Earth Observation;Radar Imaging;LEO;80.0;;2019;;ICEYE Ltd.;Finland;Soyuz 2.1b;;EU;EU;Russia;earth_observation_and_surveillance
909;ICEYE-X5;Finland;ICEYE Ltd.;Commercial;Earth Observation;Radar Imaging;LEO;80.0;;2019;;ICEYE Ltd.;Finland;Soyuz 2.1b;;EU;EU;Russia;earth_observation_and_surveillance
910;ICON;USA;National Aeronautics and Space Administration (NASA);Government;Space Science;;LEO;288.0;;2019;;National Aeronautics and Space Administration (NASA);USA;Pegasus;Will conduct space research on ionosphere.;USA;USA;USA;space_science
911;IGS Optical 5;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation;Optical Imaging;LEO;1600.0;;2015;5.0;Mitsubishi Electric;Japan;H2A;Optical reconnaissance.;Japan;Japan;Japan;earth_observation_and_surveillance
912;IGS Optical 6;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation;Optical Imaging;LEO;1600.0;;2018;5.0;Mitsubishi Electric;Japan;H2A;Optical reconnaissance.;Japan;Japan;Japan;earth_observation_and_surveillance
